timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,network_usage,user_activity,temperature
2023-10-23 12:00:00,0.85835,0.0,0,-0.11,-0.22,-0.11,433,1486390,85
2023-10-23 12:05:00,0.8816700000000001,0.0,0,-0.11,-0.22,-0.11,785,2767851,88
2023-10-23 12:10:00,0.44595,0.0,0,-0.11,-0.22,-0.11,195,347854,44
2023-10-23 12:15:00,0.56282,0.0,0,-0.11,-0.22,-0.11,93,209416,56
2023-10-23 12:20:00,0.36534,0.0,0,-0.11,-0.22,-0.11,54,78993,36
2023-10-23 12:25:00,0.36894,0.0,0,-0.11,-0.22,-0.11,315,464848,36
2023-10-23 12:30:00,0.36807,0.0,0,-0.11,-0.22,-0.11,91,134043,36
2023-10-23 12:35:00,0.3676300000000001,0.0,0,-0.11,-0.22,-0.11,83,122122,36
2023-10-23 12:40:00,0.36167,0.0,0,-0.11,-0.22,-0.11,151,218494,36
2023-10-23 12:45:00,0.38992,0.0,0,-0.11,-0.22,-0.11,340,530258,38
2023-10-23 12:50:00,0.4972399999999999,0.0,0,-0.11,-0.22,-0.11,5,10042,49
2023-10-23 12:55:00,0.39939,0.0,0,-0.11,-0.22,-0.11,237,378627,39
2023-10-23 13:00:00,0.37058,0.0,0,-0.11,-0.22,-0.11,177,262405,37
2023-10-23 13:05:00,0.36119,0.0,0,-0.11,-0.22,-0.11,307,443530,36
2023-10-23 13:10:00,0.36339,0.0,0,-0.11,-0.22,-0.11,217,315443,36
2023-10-23 13:15:00,0.3739,0.0,0,-0.11,-0.22,-0.11,61,91308,37
2023-10-23 13:20:00,0.36156,0.0,0,-0.11,-0.22,-0.11,250,361569,36
2023-10-23 13:25:00,0.3659,0.0,0,-0.11,-0.22,-0.11,41,60092,36
2023-10-23 13:30:00,0.36624,0.0,0,-0.11,-0.22,-0.11,49,71865,36
2023-10-23 13:35:00,0.3589,0.0,0,-0.11,-0.22,-0.11,116,166587,35
2023-10-23 13:40:00,0.36398,0.0,0,-0.11,-0.22,-0.11,103,150022,36
2023-10-23 13:45:00,0.4029399999999999,0.0,0,-0.11,-0.22,-0.11,72,116117,40
2023-10-23 13:50:00,0.49725,0.0,0,-0.11,-0.22,-0.11,496,986397,49
2023-10-23 13:55:00,0.37274,0.0,0,-0.11,-0.22,-0.11,296,441313,37
2023-10-23 14:00:00,0.46506,0.0,0,-0.11,-0.22,-0.11,391,727272,46
2023-10-23 14:05:00,0.38674,0.0,0,-0.11,-0.22,-0.11,20,31031,38
2023-10-23 14:10:00,0.36715,0.0,0,-0.11,-0.22,-0.11,129,189502,36
2023-10-23 14:15:00,0.50673,0.0,0,-0.11,-0.22,-0.11,170,344590,50
2023-10-23 14:20:00,0.38114,0.0,0,-0.11,-0.22,-0.11,102,155566,38
2023-10-23 14:25:00,0.36561,0.0,0,-0.11,-0.22,-0.11,122,178473,36
2023-10-23 14:30:00,0.4032099999999999,0.0,0,-0.11,-0.22,-0.11,91,146831,40
2023-10-23 14:35:00,0.3742499999999999,0.0,0,-0.11,-0.22,-0.11,78,116836,37
2023-10-23 14:40:00,0.34767,0.0,0,-0.11,-0.22,-0.11,8,11222,34
2023-10-23 14:45:00,0.37408,0.0,0,-0.11,-0.22,-0.11,306,457859,37
2023-10-23 14:50:00,0.7110600000000002,0.0,0,-0.11,-0.22,-0.11,259,736573,71
2023-10-23 14:55:00,0.3343,0.0,0,-0.11,-0.22,-0.11,278,371748,33
2023-10-23 15:00:00,0.3350199999999999,0.0,0,-0.11,-0.22,-0.11,325,435517,33
2023-10-23 15:05:00,0.31879,0.0,0,-0.11,-0.22,-0.11,196,249968,31
2023-10-23 15:10:00,0.31615,0.0,0,-0.11,-0.22,-0.11,38,48142,31
2023-10-23 15:15:00,0.33388,0.0,0,-0.11,-0.22,-0.11,81,108250,33
2023-10-23 15:20:00,0.32013,0.0,0,-0.11,-0.22,-0.11,257,329111,32
2023-10-23 15:25:00,0.32003,0.0,0,-0.11,-0.22,-0.11,43,55131,32
2023-10-23 15:30:00,0.3201,0.0,0,-0.11,-0.22,-0.11,299,382843,32
2023-10-23 15:35:00,0.31171,0.0,0,-0.11,-0.22,-0.11,201,250652,31
2023-10-23 15:40:00,0.30835,0.0,0,-0.11,-0.22,-0.11,222,273846,30
2023-10-23 15:45:00,0.34006,0.0,0,-0.11,-0.22,-0.11,334,454306,34
2023-10-23 15:50:00,0.4512600000000001,0.0,0,-0.11,-0.22,-0.11,22,39800,45
2023-10-23 15:55:00,0.32162,0.0,0,-0.11,-0.22,-0.11,104,133860,32
2023-10-23 16:00:00,0.32514,0.0,0,-0.11,-0.22,-0.11,63,82014,32
2023-10-23 16:05:00,0.31007,0.0,0,-0.11,-0.22,-0.11,26,32339,31
2023-10-23 16:10:00,0.31099,0.0,0,-0.11,-0.22,-0.11,268,333397,31
2023-10-23 16:15:00,0.3267,0.0,0,-0.11,-0.22,-0.11,14,18390,32
2023-10-23 16:20:00,0.30672,0.0,0,-0.11,-0.22,-0.11,250,306743,30
2023-10-23 16:25:00,0.3132999999999999,0.0,0,-0.11,-0.22,-0.11,186,233136,31
2023-10-23 16:30:00,0.32277,0.0,0,-0.11,-0.22,-0.11,41,53021,32
2023-10-23 16:35:00,0.30799,0.0,0,-0.11,-0.22,-0.11,215,264905,30
2023-10-23 16:40:00,0.31156,0.0,0,-0.11,-0.22,-0.11,279,347714,31
2023-10-23 16:45:00,0.34148,0.0,0,-0.11,-0.22,-0.11,156,213130,34
2023-10-23 16:50:00,0.44669,0.0,0,-0.11,-0.22,-0.11,14,25108,44
2023-10-23 16:55:00,0.32176,0.0,0,-0.11,-0.22,-0.11,120,154506,32
2023-10-23 17:00:00,0.33629,0.0,0,-0.11,-0.22,-0.11,24,32375,33
2023-10-23 17:05:00,0.31171,0.0,0,-0.11,-0.22,-0.11,55,68659,31
2023-10-23 17:10:00,0.31556,0.0,0,-0.11,-0.22,-0.11,92,116197,31
2023-10-23 17:15:00,0.31965,0.0,0,-0.11,-0.22,-0.11,70,89579,31
2023-10-23 17:20:00,0.31221,0.0,0,-0.11,-0.22,-0.11,11,13833,31
2023-10-23 17:25:00,0.31012,0.0,0,-0.11,-0.22,-0.11,136,168763,31
2023-10-23 17:30:00,0.32176,0.0,0,-0.11,-0.22,-0.11,166,213695,32
2023-10-23 17:35:00,0.31337,0.0,0,-0.11,-0.22,-0.11,129,161758,31
2023-10-23 17:40:00,0.31116,0.0,0,-0.11,-0.22,-0.11,85,105867,31
2023-10-23 17:45:00,0.34392,0.0,0,-0.11,-0.22,-0.11,240,330180,34
2023-10-23 17:50:00,0.44619,0.0,0,-0.11,-0.22,-0.11,229,408707,44
2023-10-23 17:55:00,0.32618,0.0,0,-0.11,-0.22,-0.11,46,60102,32
2023-10-23 18:00:00,0.32212,0.0,0,-0.11,-0.22,-0.11,134,172713,32
2023-10-23 18:05:00,0.30588,0.0,0,-0.11,-0.22,-0.11,213,260644,30
2023-10-23 18:10:00,0.31055,0.0,0,-0.11,-0.22,-0.11,208,258413,31
2023-10-23 18:15:00,0.32333,0.0,0,-0.11,-0.22,-0.11,270,349209,32
2023-10-23 18:20:00,0.31584,0.0,0,-0.11,-0.22,-0.11,126,159243,31
2023-10-23 18:25:00,0.30873,0.0,0,-0.11,-0.22,-0.11,268,330975,30
